TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,WON,SEED,YEAR
Saint Mary's,WCC,34,27,112.1,90.5,0.9213,52,47.1,16.4,19.2,32.6,21.9,32,29.9,50.8,45.7,36.1,33.3,61.9,3.4,0,5,2023
Duke,ACC,36,27,113.3,92.9,0.9072,51.1,46,18.3,16.5,35.9,26.1,29.9,23.7,51.5,46.2,33.5,30.5,64.9,4.5,0,5,2023
Kentucky,SEC,34,22,115.7,97.7,0.8738,50.6,48.6,17.4,16.6,39.2,25,31.9,29.9,50,48.6,34.7,32.4,65.8,1.6,0,6,2023
TCU,B12,35,22,111.7,94.6,0.8704,50,48.1,16.7,21.6,32.2,30.5,34.1,30.1,51.5,49.2,31,30.8,69.7,2.2,0,6,2023
Northwestern,B10,34,22,109.7,93.4,0.8642,47.3,48.4,14.7,21.3,28.6,27.7,29.7,31.6,46.7,46.8,32.1,33.8,64.5,1.6,0,7,2023
Missouri,SEC,35,25,117.5,104.5,0.7939,55,52.3,15.8,24,26.3,37.2,29.1,34.2,55.8,52.2,36,35,68.9,3.5,0,7,2023
Maryland,B10,35,22,112.6,95.8,0.8658,50.8,47.7,16.5,18.4,30,28.1,34.3,28.4,51.8,47.4,32.8,32.3,64.3,1,0,8,2023
Auburn,SEC,34,21,113.1,94.9,0.8829,49.5,45.7,17.7,18.9,32.8,32.4,36.3,38.9,50.7,47,31.5,28.8,67.6,1.1,0,9,2023
Penn St.,B10,37,23,117.5,100.7,0.8547,55.4,49.1,13.7,13.1,19.2,25.6,21.3,25.5,53.1,49.2,38.7,32.7,64.3,1.3,0,10,2023
Pittsburgh,ACC,36,24,113.1,101.6,0.7743,52.5,48.5,16.3,16.6,29.5,28.6,32.9,30.4,51.4,48.2,36,32.6,67.2,-0.3,0,11,2023
Furman,SC,33,28,112.7,104.8,0.6984,55,50.7,15.7,18.2,28.9,27.3,34.8,31.9,58.3,51.5,34.1,32.7,68.2,-2,0,13,2023
Fairleigh Dickinson,NEC,35,21,106.1,114.7,0.2909,51.3,54.7,16.3,21.1,30.9,29.3,28,33.9,51.1,55.8,34.3,35.3,68.6,-12.2,0,16,2023
North Carolina,ACC,38,26,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40,31.2,35.2,37.8,50.9,45.6,35.8,30,69.9,6.5,1,4,2015
North Carolina St.,ACC,36,22,114.1,96.8,0.8684,49.3,45.5,16,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33,64.7,1.1,1,8,2015
Duke,ACC,36,25,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51,48.9,38.5,34,68.7,4.2,1,4,2016
Miami FL,ACC,35,27,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67,6.9,1,3,2016
Clemson,ACC,35,25,112.5,93.1,0.8984,52.9,47.2,17.4,17.4,27.2,26.3,33.5,27.2,51.6,43.9,36.6,35.2,67.2,3.9,1,5,2018
Syracuse,ACC,37,23,106,92.1,0.8344,46.9,46.2,19.1,19.5,34.7,30.4,40.5,31.4,46.6,45.1,31.7,31.8,64,-0.4,1,11,2018
Florida St.,ACC,37,29,111.7,90.9,0.9146,50.5,47.2,18.9,20.3,32.8,27,35.8,35.7,50.9,45.3,33.2,33.5,70,7.6,1,4,2019
North Carolina,ACC,36,29,120.1,91.4,0.9582,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,76,10,1,1,2019
Virginia Tech,ACC,35,26,117.8,93.4,0.9357,55.6,49,17.3,21.6,29.6,27.2,31.9,26.3,52.9,49,39.4,32.7,65.1,5,1,4,2019
Houston,Amer,37,33,115.7,90.5,0.9439,52.1,42.5,16.5,18.2,34.4,26,31.6,37.3,51.3,43,35.5,27.9,67.3,7.8,1,3,2019
Indiana,B10,35,27,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49,41.6,34.3,69.5,3.2,1,5,2016
Maryland,B10,35,26,114.9,96.3,0.8839,55.2,46.5,18.9,16.4,29.1,29.9,37,27,55.8,45.5,36.2,32.1,67.9,4,1,5,2016
Wisconsin,B10,35,22,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,64.1,0.4,1,7,2016
Michigan,B10,38,26,123.3,97.6,0.9366,57,51.9,14.2,19.5,24.7,30,30.1,27.2,56.3,50,38.5,37.8,64,3.8,1,7,2017
Purdue,B10,35,27,116.6,93.1,0.9297,55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,52.7,46.6,40.3,33.2,70.4,5.6,1,4,2017
Wisconsin,B10,37,27,114.5,92,0.9255,52.1,47.5,17,19.5,35.9,25.9,32.9,28,51.1,43.1,35.9,37.6,64.4,5.1,1,8,2017
Purdue,B10,37,30,123.2,95.7,0.9484,57.7,47,15.8,17.7,28,28,35.6,24.2,54.1,45.5,42,33.2,68.7,7.6,1,2,2018
Michigan,B10,37,30,114.6,85.6,0.9665,51.6,44.1,13.9,18,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,9.2,1,2,2019
Oklahoma,B12,35,24,111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,1,3,2015
West Virginia,B12,35,25,110.3,93.3,0.8733,46.1,52.7,18.7,28,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,1,5,2015
Iowa St.,B12,35,23,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,1,3,2016
Baylor,B12,34,27,116.4,93.9,0.9226,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,52.2,45,35.3,32.2,65.1,7.9,1,3,2017
West Virginia,B12,37,28,115.4,89.3,0.9498,51.3,48.8,17,27.6,37.9,31.9,38.9,42.5,49.8,46.5,36.2,35.3,72.2,6.4,1,4,2017
West Virginia,B12,37,26,120.9,95.8,0.9353,50.4,49.9,16.5,23.3,37,30.1,31.3,44.1,48.8,45.4,35.3,38,71.2,4.6,1,5,2018
Xavier,BE,37,23,115.7,95.1,0.9049,53.3,50,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,1,6,2015
Butler,BE,34,25,117.7,96.9,0.9038,54.6,50.8,15,19.6,27.2,27,37.1,37,54.5,51.3,36.6,33.3,67.2,5.5,1,4,2017
Wichita St.,MVC,34,29,114.3,91.5,0.9277,50.3,45.8,15,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,1,7,2015
Nevada,MWC,37,29,118.9,102.5,0.8462,54.8,49.4,13.5,18,26.7,29.3,36.3,30.1,52.1,50.7,39.2,31.7,70.7,2.5,1,7,2018
UCLA,P12,36,22,111.8,96.6,0.8425,49.6,48.5,17.6,17.9,33.8,28.6,35.7,32.3,47.4,45.4,36.8,35.6,66.8,0,1,11,2015
Utah,P12,34,25,114.9,88.7,0.9513,55.2,43,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,1,5,2015
Arizona,P12,37,32,117.6,95.6,0.9157,53.7,47.7,16.6,17.4,33.2,26,40.5,28.6,51.5,48.4,39,31,67.1,7.9,1,2,2017
UCLA,P12,36,31,122.8,99.6,0.9175,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,59.1,45.3,40.6,36.5,74.6,6.6,1,3,2017
Oregon,P12,38,25,108.1,91.7,0.8687,52,46.4,17.8,20.9,29.6,28.8,29.4,33.9,51.6,48.8,35.1,29,65.4,-1.1,1,12,2019
Texas A&M,SEC,37,28,113,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,5.2,1,3,2016
Kentucky,SEC,37,26,115.8,95.6,0.9,51.8,46.8,18.6,16.8,35.7,31,44,32.3,51.2,48,35.7,30.1,70,4.3,1,5,2018
Texas A&M,SEC,35,22,111.2,94.7,0.864,51.4,46.9,19.2,15.3,33.9,27.3,32,27.6,52.5,45.7,32.9,32.6,70.3,1.9,1,7,2018
LSU,SEC,35,28,117.9,96.6,0.9081,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,71.2,7.3,1,3,2019
Tennessee,SEC,36,31,122.8,95.2,0.9488,55.3,48.1,15.8,18,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,68.8,9.9,1,2,2019
Gonzaga,WCC,35,27,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,1,11,2016
Gonzaga,WCC,37,32,117.2,94.9,0.9192,57,47.1,16.1,17.4,33,23.1,32.1,29.1,58.2,44.1,36.8,35,70.5,4.9,1,4,2018
Virginia,ACC,37,30,114.6,89.5,0.9449,50.8,44.2,16.5,18.4,33.9,25.8,42,32.5,49,42.1,36.9,32.3,61.2,8.2,1,1,2014
Iowa St.,B12,36,28,118.6,98.8,0.8903,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,54.4,46,35.8,34.1,71.6,7.5,1,3,2014
Louisville,Amer,37,31,118.8,87.6,0.971,53.5,43.9,15.3,25,37.1,32.7,41.2,38.4,52.7,44.3,36.8,28.6,68.8,5.3,1,4,2014
San Diego St.,MWC,34,29,109.4,90.7,0.896,46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,45.1,43.5,34.2,30.8,64,6,1,4,2014
UCLA,P12,37,28,119,96.6,0.9167,54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,53,48.6,38,34.4,70.2,4.5,1,4,2014
Baylor,B12,36,24,119.2,99.5,0.8885,51.3,48.7,17.8,15.8,40.1,32,44.8,32.3,48.3,46.4,38,35.6,62.9,3.1,1,6,2014
Stanford,P12,36,23,111.7,96.5,0.8436,51.3,48,17,17,29.3,28.1,45,37,49.9,45.8,36.4,34.9,67.2,1.1,1,10,2014
Tennessee,SEC,36,23,118.1,93.4,0.9374,49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,50.6,44.5,31.9,34.5,63.1,0.4,1,11,2014
Indiana,B10,36,29,121,89.7,0.9692,54.7,44,19.3,20.9,39,31.4,45.8,27,52,43.2,40.3,30.4,67.8,7.8,1,1,2013
Kansas,B12,37,31,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32,52.9,39.3,36.4,30.3,67.7,7.5,1,1,2013
Miami FL,ACC,36,29,112.4,90.8,0.9207,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44,36.2,32.6,63,6.3,1,2,2013
Michigan St.,B10,35,26,111.4,87.8,0.9392,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,64.4,6.7,1,3,2013
Arizona,P12,35,27,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,1,6,2013
Oregon,P12,37,28,104.8,88.6,0.8728,49.3,46.4,21.4,22,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,2.9,1,12,2013
La Salle,A10,34,24,112,96.2,0.8516,51.9,49.3,17.1,21.3,29,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66,0.3,1,13,2013
Florida Gulf Coast,ASun,35,24,103.4,96.3,0.6952,51.6,46.9,21,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,-4,1,15,2013
Alabama,SEC,30,24,111,88.1,0.9343,51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,50.1,46.4,35.1,28.8,73.9,6.8,1,2,2021
Florida St.,ACC,22,16,117.8,94,0.9305,54.4,46.5,20.1,19.6,35.4,31.4,32.7,36.3,52.1,44.2,39,33.3,70.4,2.5,1,4,2021
Villanova,BE,22,16,117.9,96.7,0.9076,52.8,51.8,13.5,19,27.9,24.8,30,25.8,52.8,51,35.2,35.4,65.1,3.2,1,5,2021
Creighton,BE,28,20,114.4,94.3,0.9025,55.7,46.9,15.8,17.8,24.8,28.2,26.9,25.7,56.3,46.1,36.7,32.1,69.1,3.5,1,5,2021
Oregon,P12,26,20,113.1,98.2,0.835,54.4,50.1,16.8,20.3,28.3,27.2,26.8,27.1,52.9,49.9,37.9,33.6,67.2,3,1,7,2021
Loyola Chicago,MVC,26,24,108.5,88.3,0.9136,56.3,46.7,18.5,21.6,26,21,30.7,22.4,58,45.5,35.7,32.5,63.9,1.7,1,8,2021
Syracuse,ACC,25,16,112.8,97.6,0.8402,50.7,48.5,16,20.8,30.1,33.5,28.1,25.1,50.9,49.3,33.7,31.6,69.4,0.5,1,11,2021
Oral Roberts,Sum,23,16,107,107.1,0.4981,53.6,50.4,15.7,18.2,23.2,33,27.8,33.1,49.7,49,38.8,35.6,71.4,-5.1,1,15,2021
Gonzaga,WCC,32,28,120.3,89.9,0.9662,58.7,43.1,15.7,16.3,29.1,23.4,30.6,22.7,60.4,41.8,37,30.5,72.6,6.7,1,1,2022
Arizona,P12,37,33,118,93.7,0.9341,55.6,44.4,18.3,17.4,34.7,28.6,34.9,24,57,41.8,35.3,32.8,72.3,8.8,1,1,2022
Texas Tech,B12,37,27,110.5,85.4,0.9509,52.6,45.8,19.8,23.2,33.2,25.8,35.1,31.9,54.9,44.5,32.1,31.5,66.3,6.6,1,3,2022
Purdue,B10,37,29,121.6,97.5,0.9267,56.5,49.1,17.5,14,35.2,23.8,38.2,21.6,55.8,48.6,38.4,33.2,66,7,1,3,2022
UCLA,P12,35,27,115.8,92.2,0.9321,50.6,47.6,13.2,19.4,31.3,25.3,29.5,28.3,49.5,47.3,35.4,32.1,65.4,5.1,1,4,2022
Providence,BE,33,27,111.4,95.5,0.8554,50,46.3,17,15.6,30.3,27.4,37,27,49,47.1,34.4,30,65.3,5.9,1,4,2022
Michigan,B10,34,19,113.9,96.2,0.8741,52.1,49.7,17.3,14.7,31,24,29.4,25.6,52.7,50.4,33.9,32.4,66.4,0.2,1,11,2022
Iowa St.,B12,35,22,101.7,88.4,0.8346,49.1,47.9,20.4,24.6,28.4,28.3,27.1,36.7,50.1,50.8,31.5,28.9,66.3,2.8,1,11,2022
Alabama,SEC,37,31,116.1,89,0.9548,52.1,41.3,18.7,15.8,34.2,27.9,36.6,32.6,53.8,40.8,33.5,28.3,72.6,10.2,1,1,2023
Houston,Amer,37,33,117.3,90.3,0.9532,52.3,42.7,15.4,21.1,37.1,27.7,28.9,35.7,53.1,43.4,34,27.9,63.4,8,1,1,2023
UCLA,P12,37,31,114.9,88.5,0.9528,51.1,46.8,14.9,23.3,33,28.2,27.4,27.5,50.6,46.9,34.9,31.1,66.1,8.4,1,2,2023
Xavier,BE,37,27,118,98.5,0.889,55.2,50.3,17.2,16.2,30.8,25,31.4,27,53.8,48.6,39,35.8,70.5,5.4,1,3,2023
Tennessee,SEC,36,25,111.2,87.5,0.9401,49.9,42.8,18.1,22.2,36.4,26.9,30.7,33.8,50.3,45.1,32.8,26.5,65.1,2.8,1,4,2023
Michigan St.,B10,34,21,114.4,96.4,0.8771,51.7,48.6,16.4,14.8,27.6,25.2,27.2,28,48.2,48.7,39.3,32.4,64.6,2.4,1,7,2023
Arkansas,SEC,36,22,111.9,93.3,0.8894,50.9,47.2,18.1,20.5,30.8,27.9,39.3,39.5,52.5,47.4,31.3,31.1,69.5,0.4,1,8,2023
Princeton,Ivy,30,23,109.1,101,0.7083,52.2,48.4,16.5,14.7,28.1,22.6,30.4,28.1,53.3,48.1,33.7,32.7,67,-3.2,1,15,2023
